# number	slug	name	page	aliases	script	function
86	opensign	OpenSign	2	OPENSIGN	apps/opensign.sh	ferramenta_opensign
87	docmost	Docmost	2	DOCMOST	apps/docmost.sh	ferramenta_docmost
88	netbox	NetBox	2	NETBOX	apps/netbox.sh	ferramenta_netbox
89	kafka	Kafka	2	KAFKA	apps/kafka.sh	ferramenta_kafka
90	astracampaign	AstraCampaign	2	ASTRACAMPAIGN	apps/astracampaign.sh	ferramenta_astracampaign
91	duplicati	Duplicati	2	DUPLICATI	apps/duplicati.sh	ferramenta_duplicati
92	pgbackweb	PgBackWeb	3	PGBACKWEB	apps/pgbackweb.sh	ferramenta_pgbackweb
93	jitsi	Jitsi Meet	3	jitsimeet,JITSIMET,JITSI	apps/jitsi.sh	ferramenta_jitsi
94	codeserver	Code Server	3	code_server,CODE_SERVER,CODESERVER	apps/codeserver.sh	ferramenta_code_server
95	papra	Papra	3	PAPRA	apps/papra.sh	ferramenta_papra
96	zerobyte	ZeroByte	3	ZEROBYTE	apps/zerobyte.sh	ferramenta_zerobyte
97	evolutiongo	Evolution GO	3	EVOLUTIONGO,EVOLUTION_GO,EVOLUTION-GO,evolution-go,evolution_go,evogo,EVOGO	apps/evolutiongo.sh	ferramenta_evolution_go
98	evocrm	EvoCRM	3	EVOCRM	apps/evocrm.sh	ferramenta_evocrm
